,ratings,location,date,pro,con,up_vote,down_vote,message
0,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
1,3.0,"Paterson, NJ",2019-03-17,Diver,Some area are bad and u safe,,,"I like the job but doesn’t pay what I need to live.so I’m looking for a business that I can grow . I been working here’s for Years.and got to meet new people, and seen new things."
2,4.0,"Houston, TX",2019-03-16,get familiar with the city and surrounding area,"maintenance on car, mileage adds up. Sometimes unappreciative customers, and rude too",,,"Only 2 reasons I am quitting is not enough money, and the wear and tear on my car. Sometimes rude customers, hut mostly nice folks. Getting to have great conversations. GPS takes me on a Mary go round when I could easily get to the destination faster."
3,5.0,"Santa Ana, CA",2019-03-16,,,,,Uber is a great job where you can communicate with your riders and have a fun conversation to make the ride more enjoyable.  Always be sure to have snacks or water with you to keep your riders hydrated and satisfied also be sure your riders are relaxed and comfortable in your vehicle by keeping it clean and also by driving safe.
4,5.0,"Tucson, AZ",2019-03-14,Work when I want to,Traffic hours,,,"Monday, Wednesday, Friday, Saturday and Sunday are usually the busiest. I have a brand new Mitsubishi now and I'm looking for a part time job with less hours for Ubereats as it and oftentimes the traffic gets hectic. But overall, I appreciate Ubereats."
5,1.0,"New Orleans, LA",2019-03-11,Work own hours,"Terrible customer service, even more terrible employee/partner relations. Youre treated like a number, and thats a double digit number.",,,Uber touts 24 hour customer service but that's a joke. No transparency. No cohesiveness. It's almost like they're trained not to tell you what you need to know.
6,1.0,"Miami, FL",2019-03-09,Not many,Working for uber is a con,1,,They Lie take more of your pay than they tell you don't take care of the driver Basically not worth it even if the passenger lies they believe them over the driver it not a good app because you do not work for UBER directly any way you just use there App and make them money
7,2.0,"Houston, TX",2019-03-09,Your own time,Almost everything once you are on,1,,"Uber usually gets you rides when you turn on their app.  However the pay is very low here in Houston.  App navigation is poor and not accurate.  Forget about long pick up fee, even though Uber says it pays; I received .07 cents for a 22 minutes pick up.  Support is the worst; contract to some foreign country with lack of understanding the US.  Bottom line is Uber is taking advantage of drivers who are in need of a job.  Most drivers who has a disadvantage in English will not understand how they maybe ripped off by Uber.  And even when they knew about it, try to get support to fix it is another story."
8,2.0,"Toledo, OH",2019-03-08,make your own hours,poor compensation for use of your own vehicle,3,1,"poor work environment..no work advancement. poor compensation for car insurance, insurance, mileage and fuel costs. best pay equals the poorest work hours"
9,4.0,"Orlando, FL",2019-03-07,Fix own hours of work.,Money not enough.,1,2,International company. Good for part time work. The money is not that good. There the flexibility to fix your own hours. Need to have a good idea about the city. I have lived here long enough and know the city well
10,4.0,"San Diego, CA",2019-03-07,Work when you want,Kills your car,1,2,"Lots of driving, pay could be better, tons of miles on personal car. Most of the time the passengers were great, sometimes they were rude smd demanding."
11,5.0,"St. Louis, MO",2019-03-07,Money,Be your own Boss,1,1,"The most comfortable job I've ever worked and to be able to work in a relaxed environment and make good part time money in this fashion is the best I've ever had to do. Look I made a total of $298.00 on a 6 hour work night not once but on a couple occasions, where can you make that kind of money and be your own Boss doing it for as least amount of capital doing it? NOWHERE unless you're already a millionaire."
12,1.0,Brighton uk,2019-03-07,Work when you like,Congestion never taken into account and very high fees.,1,,Was told when I started that after 500jobs that I would only pay 15% charges but that was not the case and just been told it will always be 25%  so not happy at all about that. Lots of dead mileage and congestion is never taken into account. Some jobs given to me 10 to 15miles away I did that once thinking it would be a long run but realised it was a lousy local job for 3-67.
13,2.0,"Houston, TX",2019-03-05,Do it when you want to,Not enough pay for your car's expenses.,1,,"Too many drivers out there, not enough business during weeks at a time.  Pay did not meet expenses for the automobile(gas, tolls, maintenance, insurance and all the other stuff you do to have a car) I drove for Uber and put 10,000 miles on in 6 weeks.  You will wear a car out quickly, so figure that into your plan.  It's as if Uber seeks people who have cars they can depreciate so fast before they can pay for it."
14,5.0,"Los Angeles, CA",2019-03-04,Not enough money,Long hours,,1,Pick up and drop of passengers or food. Became very familiar with street in Los Angeles and San Diego. What I’ve learned is they’re a busy day and not so busy days i prefer consistency. You are your own boss. The workplace is great got to interact with different people from different backgrounds.
15,3.0,"Maui, HI",2019-03-04,"Making ur own schedule, make a few extra dollars",Doesn’t pay enough,,,Making your own schedule is cool. But it sucks that the fairs are super low. U can’t make a living driving Uber. Not enough fairs to begin with and fairs are super cheap.
16,1.0,"Albuquerque, NM",2019-03-03,Meet people make connections,Everything else,3,,"Sure you can work ""whenever you like"" but driving on a Wednesday at 2am vs Friday at 8pm is a no brainer.  You're nowhere near your own boss. 2 1/2 years later and I can definitively tell you that as a fact. I've had to decide on whether to pay bills or fix my car(s) too many times to count. I've lost 3 vehicles so far. The only reason I continue are my children and a lack of reliable safe childcare in my area. I've had the same issue with my account for over 5 months now and they have yet to even address it. You're not able to resource your work in case you need to show proof of income or expenses. You never speak to the same driver support agent twice. There's no real assistance when you need it. Passengers are still allowed to ride with very low ratings. They're allowing too many substandard drivers to drive which creates negative for the next driver. They minimize the add a tip section, so many times people miss it completely. They control how much of a tip drivers can actually receive on a ride. The list is endless, to be honest"
17,4.0,"Muncie, IN",2019-03-03,"Discounted car washes, car repairs, work LITERALLY when is convienient for YOU.","High insurance rates, personal safety, customer support isnt always someone who speaks english well.",2,,"The pay varies per ride. They are usually short rides making less than 5 dollars per trip. (1-3 ish miles) ive talen a few trips to a city less than 30 miles about a half hour trio with traffic, usually ends up being 25-30 dollars. Note: your comute back is NOT paid, unless u do a ride that brings you back.  away, averages about no management, just yourself. You schedule yourself.... whenever you want to be online. Offers insurance, vision, medical, dental. I do not recommend if you only have one car. Car must be within 10 years old."
18,1.0,"Santa Cruz, CA",2019-03-02,Fast money for chewing gum,Its one big con,5,1,What a con...rip off...you will be broke...homeless....without a car...scam....you are just selling off pieces of you car...uber benefits not...you..forget it
19,1.0,"Nashville, TN",2019-02-28,Set your own schedule,Low pay and long hours.,5,1,"When I first started working with the company the pay was good, though there was no technical support. The latter part changed eventually, but mostly to automated systems. What you can expect as a current driver or future driver is constantly decreasing wages and eventually a loss of job once driver-less cars come online. From when I started to now, my income dropped by more than half in less than a year. Stay away unless your desperate, there are no benefits or compensation."
